-----------------------------------------------------------------------------------------------------
15日10时53分54秒Info:System');"SQL=DROP INDEX AA_OID ON AA,异常信息:无法对 索引 'AA.AA_OID' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时53分59秒Info:System');"SQL=DROP INDEX Sys_FrmRB_MyPK ON Sys_FrmRB,异常信息:无法对 索引 'Sys_FrmRB.Sys_FrmRB_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时53分59秒Info:System');"SQL=DROP INDEX Port_Emp_No ON Port_Emp,异常信息:无法对 索引 'Port_Emp.Port_Emp_No' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时53分59秒Fatal:System');"对象名 'Sys_Enum' 无效。
15日10时53分59秒Fatal:System');"SQL= SELECT TOP 99999 MyPK, Lab, EnumKey,ISNULL(IntKey,0) IntKey,ISNULL(Lang, 'CH') Lang, OrgNo FROM Sys_Enum WHERE (1=1) AND ( ( Sys_Enum.EnumKey =@EnumKey) AND ( Sys_Enum.Lang =@Lang) ) ORDER BY IntKey Exception=对象名 'Sys_Enum' 无效。
15日10时54分00秒Info:System');"SQL=DROP INDEX Sys_Enum_MyPK ON Sys_Enum,异常信息:无法对 索引 'Sys_Enum.Sys_Enum_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时54分00秒Info:System');"SQL=DROP INDEX Port_Dept_No ON Port_Dept,异常信息:无法对 索引 'Port_Dept.Port_Dept_No' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时54分00秒Info:System');"SQL=DROP INDEX Port_Station_No ON Port_Station,异常信息:无法对 索引 'Port_Station.Port_Station_No' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时54分01秒Info:System');"SQL=DROP INDEX Port_StationType_No ON Port_StationType,异常信息:无法对 索引 'Port_StationType.Port_StationType_No' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时54分01秒Info:System');"SQL=DROP INDEX Port_DeptEmp_MyPK ON Port_DeptEmp,异常信息:无法对 索引 'Port_DeptEmp.Port_DeptEmp_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时54分01秒Info:System');"SQL=DROP INDEX Port_DeptEmpStation_MyPK ON Port_DeptEmpStation,异常信息:无法对 索引 'Port_DeptEmpStation.Port_DeptEmpStation_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时54分02秒Info:System');"SQL=DROP INDEX WF_Emp_No ON WF_Emp,异常信息:无法对 索引 'WF_Emp.WF_Emp_No' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时54分05秒Fatal:System');"列名 'OrgNo' 无效。
列名 'Leader' 无效。
15日10时54分05秒Fatal:System');"SQL= SELECT  TOP 1  No, Name, ParentNo, OrgNo, Leader,ISNULL(Idx,0)   Idx FROM Port_Dept WHERE (1=1)  AND Port_Dept.No=@No Exception=列名 'OrgNo' 无效。
列名 'Leader' 无效。
15日10时54分06秒Info:System');"SQL=DROP INDEX WF_Flow_No ON WF_Flow,异常信息:无法对 索引 'WF_Flow.WF_Flow_No' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时54分06秒Info:System');"SQL=DROP INDEX WF_Node_NodeID ON WF_Node,异常信息:无法对 索引 'WF_Node.WF_Node_NodeID' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时54分06秒Info:System');"SQL=DROP INDEX Sys_MapDtl_No ON Sys_MapDtl,异常信息:无法对 索引 'Sys_MapDtl.Sys_MapDtl_No' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时54分10秒Info:System');"SQL=DROP INDEX Sys_MapAttr_MyPK ON Sys_MapAttr,异常信息:无法对 索引 'Sys_MapAttr.Sys_MapAttr_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时54分11秒Info:System');"SQL=DROP INDEX WF_GenerWorkFlow_WorkID ON WF_GenerWorkFlow,异常信息:无法对 索引 'WF_GenerWorkFlow.WF_GenerWorkFlow_WorkID' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时54分11秒Info:System');"SQL=DROP INDEX WF_CH_MyPK ON WF_CH,异常信息:无法对 索引 'WF_CH.WF_CH_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时54分11秒Info:System');"SQL=DROP INDEX Sys_WFSealData_MyPK ON Sys_WFSealData,异常信息:无法对 索引 'Sys_WFSealData.Sys_WFSealData_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时54分11秒Info:System');"SQL=DROP INDEX Sys_UserRegedit_MyPK ON Sys_UserRegedit,异常信息:无法对 索引 'Sys_UserRegedit.Sys_UserRegedit_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时54分12秒Info:System');"SQL=DROP INDEX Sys_DictDtl_MyPK ON Sys_DictDtl,异常信息:无法对 索引 'Sys_DictDtl.Sys_DictDtl_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
15日10时54分12秒Info:System');"SQL=DROP INDEX Sys_EnVer_MyPK ON Sys_EnVer,异常信息:无法对 索引 'Sys_EnVer.Sys_EnVer_MyPK' 执行 删除，因为它不存在，或者您没有所需的权限。
